Palabra,Tipo,Definicion
perro,NN,"(Canis lupus familiaris) Variedad doméstica del lobo de muchas y diversas razas, compañero del hombre desde tiempos prehistóricos."
auto,NN,"Vehículo de cuatro ruedas, cerrado, con asientos, propulsado por un motor de combustión o eléctrico, destinado al transporte de una a cinco personas."
jugar,VB,Realizar actividades divertidas
saltar,VB,Impulsarse o lanzarse al aire.
verde,JJ,"Del color percibido por el ojo humano de la luz con una longitud de onda entre 520 nanómetros y 570 nanómetros, el color del follaje vivo o las esmeraldas."
azul,JJ,"De color que recuerda al del cielo en un día despejado, ubicado entre el verde y el añil en el espectro cromático, en una longitud de onda de alrededor de 470 nm. Tradicionalmente se considera el quinto color del arcoíris o espectro solar."
tortuga,NN,"Reptiles del orden de los Quelonios caracterizados por tener un tronco ancho y corto, protegido por un caparazón que está formado, generalmente, por placas óseas revestidas de placas córneas."
tomate,NN,"(Solanum lycopersicum) Planta americana de la familia de las solanáceas, una hierba anual, rastrera o trepadora, de tallos pubescentes y fruto en baya de color rojo, muy jugoso y de sabor ligeramente ácido."
salto,NN,Acción o efecto de saltar (impulsarse o lanzarse al aire).
televisión,NN,Sistema tecnológico de transmisión y recepción de imágenes en movimiento y sonido cuyo sitio de origen está distante del lugar donde se capta la visión.
negro,JJ,"De color extremadamente oscuro, propio de los cuerpos que no reflejan nada de luz o de la oscuridad más absoluta."
arbol,NN,.mw-parser-output .definicion-impropia{font-style:italic}Grafía obsoleta de árbol.
